description,pointnumber,datetime,valuetodate,mindate,minvalue,maxdate,maxvalue,avgvalue,choice,temp,holiday
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 19:59,11401.39258,02-Oct-14 19:33:06:63,11348.18457,02-Oct-14 19:18:10:283,11874.73633,11622.73079,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 20:59,11072.22461,02-Oct-14 20:57:04:673,11072.22461,02-Oct-14 20:15:05:41,11578.29688,11368.81999,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 21:59,10437.2002,02-Oct-14 21:57:05:91,10437.2002,02-Oct-14 21:06:06:493,11137.15234,10861.30222,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 22:59,10040.91211,02-Oct-14 22:54:06:183,9942.512695,02-Oct-14 21:57:05:91,10437.2002,10244.92281,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/2/14 23:59,9598.392578,02-Oct-14 23:57:07:24,9598.392578,02-Oct-14 22:57:06:863,10040.91211,9870.250372,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 0:59,9067.448242,03-Oct-14 00:57:06:15,9067.448242,02-Oct-14 23:57:07:24,9598.392578,9310.595099,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 1:59,8629.824219,03-Oct-14 01:57:05:467,8629.824219,03-Oct-14 00:57:06:15,9067.448242,8809.478144,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 2:59,8224.428711,03-Oct-14 02:39:06:463,8129.040527,03-Oct-14 01:57:05:467,8629.824219,8340.78604,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 3:59,8103.816406,03-Oct-14 03:36:12:683,8050.348145,03-Oct-14 03:18:07:107,8232.508789,8135.820452,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 4:59,8126.052246,03-Oct-14 04:06:10:163,8020.44043,03-Oct-14 04:54:05:577,8210.680664,8102.8484,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 5:59,8348.108398,03-Oct-14 05:36:04:73,7982.648438,03-Oct-14 05:57:04:37,8348.108398,8107.29083,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 6:59,9441.384766,03-Oct-14 05:57:04:37,8348.108398,03-Oct-14 06:57:07:557,9441.384766,8767.48377,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 7:59,11327.08008,03-Oct-14 06:57:07:557,9441.384766,03-Oct-14 07:57:05:033,11327.08008,10685.65341,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 8:59,12775.6084,03-Oct-14 07:57:05:033,11327.08008,03-Oct-14 08:39:04:687,12906.6084,12488.03371,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 9:59,12723.07227,03-Oct-14 09:51:08:983,12666.07227,03-Oct-14 09:24:09:327,13038.70508,12786.41853,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 10:59,13034.625,03-Oct-14 10:00:04:78,12700.77637,03-Oct-14 10:18:04:677,13162.74414,12945.39909,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 11:59,13029.28906,03-Oct-14 11:00:06:483,12925.09668,03-Oct-14 11:48:05:873,13216.52051,13089.08938,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 12:59,13088.11231,03-Oct-14 11:57:05:853,13029.28906,03-Oct-14 12:30:07:15,13367.89648,13179.90165,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/3/14 13:59,13502.5127,03-Oct-14 13:06:07:117,13030.48828,03-Oct-14 13:48:05:863,13611.14453,13383.59561,KW,32,0
